2022-10-01,168
2022-10-02,169
2022-10-03,164
2022-10-04,168
2022-10-05,154
2022-10-06,146
2022-10-07,153
2022-10-08,150
2022-10-09,147
2022-10-10,149
2022-10-11,143
2022-10-12,141
2022-10-13,153
2022-10-14,142
2022-10-15,140
2022-10-16,128
2022-10-17,133
2022-10-18,132
2022-10-19,126
2022-10-20,129
2022-10-21,119
2022-10-22,123
2022-10-23,119
2022-10-24,138
2022-10-25,124
2022-10-26,115
2022-10-27,116
2022-10-28,131
2022-10-29,118
2022-11-02,107
2022-11-03,103
2022-11-04,103
2022-11-05,115
2022-11-06,107
2022-11-07,100
2022-11-08,100
2022-11-09,110
2022-11-10,174
2022-11-11,124
2022-11-12,97.0
2022-11-13,94.3
2022-11-14,82.6
2022-11-15,78.6
2022-11-16,83.7
